1000 10000
389 2 145
642 900 790
821 109 849
676 556 681
395 479 220
703 443 919
805 196 784
386 364 394
743 338 76
194 387 929
797 282 597
10 320 394
602 111 568
494 401 124
976 843 634
836 904 217
461 377 184
294 609 122
172 560 330
541 171 385
757 384 264
912 636 38
487 906 426
876 320 752
250 985 299
224 211 555
396 673 853
828 998 796
580 935 228
552 570 272
926 295 452
951 119 687
223 285 479
585 927 774
412 660 638
340 524 72
754 699 294
919 837 116
968 296 701
470 400 821
377 315 859
165 497 923
643 150 140
597 209 717
174 124 426
423 154 682
230 298 913
339 903 737
85 718 267
86 384 722
769 518 186
392 365 430
727 574 430
263 826 266
312 486 962
424 532 375
762 52 105
599 181 880
438 855 654
386 300 899
53 865 518
141 879 915
199 898 645
120 736 855
478 935 766
400 477 302
700 466 345
591 16 905
487 316 320
982 974 725
299 352 574
303 200 322
934 49 540
519 566 677
650 580 119
997 281 796
683 372 84
157 938 145
651 968 6
3 946 400
489 1000 128
798 518 178
591 657 697
775 968 338
584 36 533
777 23 530
597 570 269
913 534 815
196 547 63
925 915 467
284 746 729
145 298 794
143 97 451
128 773 664
430 18 113
848 787 136
101 811 625
388 339 17
134 414 756
687 148 631
805 51 93
224 593 151
663 337 908
307 603 730
396 482 1018
200 42 395
834 466 791
634 645 692
191 268 428
646 425 52
303 737 663
809 793 821
962 586 451
337 80 640
8 635 110
776 937 27
382 672 117
938 178 889
562 138 216
710 306 857
636 669 945
892 946 345
435 370 599
148 386 425
921 159 906
203 24 427
301 355 991
928 776 520
368 950 999
145 484 439
135 658 976
346 620 128
516 80 559
855 867 963
67 925 301
649 487 393
177 141 525
895 553 456
225 50 124
404 240 212
176 286 780
115 474 830
577 229 368
360 192 565
859 243 759
763 73 586
136 741 472
742 259 342
547 60 61
209 397 730
792 666 977
467 26 394
481 439 760
133 992 13
548 429 999
776 715 681
734 506 146
134 601 970
333 66 367
281 268 713
420 700 834
271 80 324
836 695 454
791 102 175
721 714 608
625 752 251
565 987 659
935 37 878
614 115 523
798 534 556
767 403 94
735 929 673
387 449 336
800 934 749
151 477 875
936 545 216
300 457 461
780 358 826
968 289 705
934 619 252
986 867 739
339 420 464
879 999 279
436 753 746
749 79 370
535 886 920
878 582 874
773 956 735
605 656 134
40 347 794
461 6 725
153 706 936
16 302 217
908 928 437
233 562 216
222 213 36
604 749 87
654 473 64
329 795 624
242 936 450
809 196 557
290 925 576
164 808 210
326 642 606
419 781 132
303 817 306
757 826 269
520 317 546
914 127 146
35 793 44
847 200 838
431 306 873
831 673 965
892 101 890
824 664 85
870 223 648
730 639 208
335 147 66
906 301 16
844 664 459
641 454 308
819 415 265
107 899 873
561 103 505
383 347 516
111 433 605
431 278 510
567 574 671
696 415 470
259 368 459
40 940 336
90 522 763
341 404 826
635 645 393
392 735 329
703 442 276
900 846 659
861 996 221
633 944 849
607 683 415
258 678 737
227 529 506
474 968 686
533 894 56
101 712 417
544 20 271
600 733 1021
523 939 66
488 542 1019
921 511 504
797 387 252
101 635 123
362 228 802
83 212 870
628 790 778
73 27 1012
985 457 622
595 374 160
672 634 704
84 988 428
266 213 376
693 311 327
104 107 551
215 264 837
867 275 904
501 851 223
834 733 59
766 652 191
567 970 239
623 121 269
824 619 71
525 813 462
321 641 899
606 558 646
26 80 460
681 667 585
145 200 995
885 505 231
19 931 602
234 781 201
110 407 46
448 763 264
663 699 788
600 1 917
188 321 978
355 663 231
679 701 23
695 554 915
796 189 49
381 804 232
331 280 861
436 757 1021
788 628 464
772 870 617
659 525 774
399 484 1009
203 920 245
342 636 902
646 78 961
866 589 409
432 972 129
618 200 676
482 276 215
189 791 319
817 736 56
572 960 127
326 111 389
631 524 810
96 161 525
624 572 697
6 746 727
946 821 327
856 43 473
537 705 504
602 439 402
292 621 305
899 791 99
772 161 419
768 870 527
547 457 886
14 109 325
898 435 996
554 801 914
799 819 489
544 167 910
968 240 638
40 747 665
656 228 888
498 666 12
919 891 407
903 174 581
428 407 13
257 463 654
621 894 511
71 660 196
191 881 972
531 253 433
252 986 491
703 133 204
214 697 378
339 41 791
449 232 164
691 723 926
644 662 91
790 776 589
717 765 684
40 272 148
792 107 1002
25 296 115
619 214 429
104 462 933
931 600 918
568 599 712
857 66 408
77 176 119
730 368 941
168 19 293
611 296 882
901 906 222
547 611 682
502 38 245
837 563 577
275 635 392
813 927 487
445 709 346
781 20 907
112 208 364
302 539 484
530 780 252
41 671 966
905 96 635
281 848 204
910 268 345
345 123 956
822 117 260
361 412 682
938 931 392
611 599 769
362 56 104
619 687 805
210 614 389
278 186 361
36 518 613
135 6 295
614 190 969
20 614 252
128 412 286
488 481 383
52 389 1021
922 934 805
813 44 497
359 461 672
852 861 911
364 804 119
951 839 496
837 571 396
913 576 953
767 190 404
570 663 612
376 285 669
12 858 879
622 585 723
331 873 77
77 60 52
150 667 272
351 916 495
755 252 1021
635 296 208
591 172 158
362 558 260
907 270 192
698 143 733
108 799 186
319 353 96
314 932 163
501 237 962
280 274 505
305 419 929
553 746 767
988 871 869
14 272 966
3 144 730
758 551 528
861 791 133
967 286 236
726 459 77
287 3 38
381 580 782
475 998 7
707 226 577
541 356 936
632 980 674
845 822 40
147 407 996
117 949 551
91 525 217
984 996 432
225 349 739
818 68 579
233 765 922
165 615 983
237 728 198
449 370 10
319 434 331
923 536 451
511 906 587
493 282 816
193 460 431
600 288 530
694 239 824
754 536 114
369 736 265
842 425 532
932 497 280
949 942 403
282 36 717
181 804 508
122 391 286
966 516 849
210 844 904
442 112 948
55 674 254
70 699 241
883 161 489
479 166 920
483 476 311
200 933 389
344 362 984
330 189 310
713 464 874
840 579 472
674 729 886
83 919 999
297 679 869
919 669 988
651 309 720
357 479 54
28 689 793
853 815 488
585 65 272
568 49 866
282 380 851
870 76 831
492 253 648
261 16 644
197 770 872
725 102 260
677 733 39
290 598 378
781 116 446
958 944 12
216 383 84
402 752 716
605 256 319
867 704 386
891 465 983
751 432 206
24 654 490
113 858 482
145 531 1020
726 916 262
725 651 289
127 77 942
499 60 8
849 435 533
152 755 894
497 70 964
485 755 30
493 499 628
302 76 989
618 396 369
712 247 741
341 343 931
3 961 610
428 838 759
364 826 509
533 910 798
214 761 628
16 790 23
735 782 160
862 415 855
430 470 738
627 625 48
159 875 669
735 642 756
615 194 1008
223 32 256
54 282 554
644 956 93
704 745 41
209 267 895
878 793 349
804 293 784
42 861 319
284 379 221
744 852 504
422 473 657
204 783 607
656 677 66
203 787 247
384 49 359
176 262 744
735 653 400
605 586 538
156 467 730
133 320 631
883 284 266
82 95 993
919 890 86
286 376 64
905 70 561
11 572 751
452 305 155
94 512 944
304 581 420
97 162 689
401 90 46
223 333 34
345 616 33
7 79 254
532 928 959
805 967 415
448 627 810
256 169 813
762 213 250
482 208 932
704 145 357
982 726 494
38 15 689
964 131 861
759 422 996
639 345 1011
475 680 568
697 877 691
61 786 509
899 315 106
250 393 111
991 466 718
424 74 26
121 844 450
705 374 115
997 748 125
664 410 705
574 158 666
452 425 378
664 977 231
165 769 385
121 209 369
56 511 483
260 309 35
390 42 673
723 352 962
630 582 1022
206 714 621
335 160 184
75 754 607
460 911 273
161 443 618
89 950 499
372 496 738
826 928 379
480 528 210
967 880 689
159 856 411
534 939 638
187 654 898
196 578 183
850 427 486
618 113 936
459 855 37
430 536 295
424 784 936
657 658 718
786 339 950
166 1000 492
122 412 293
8 74 636
501 249 352
83 39 546
973 524 511
302 766 574
51 834 234
992 282 868
264 956 69
683 803 867
993 897 975
60 801 98
167 67 982
662 629 47
374 83 610
136 997 646
614 923 677
714 703 135
401 50 351
71 247 940
775 660 474
863 538 158
915 199 19
591 462 934
681 683 353
709 227 502
451 988 198
376 457 493
362 477 723
89 106 227
442 790 607
233 599 141
215 91 144
237 912 232
657 340 741
292 281 270
179 557 522
255 657 756
844 340 615
841 120 648
779 668 363
918 440 152
407 156 299
582 735 111
522 9 219
447 168 878
39 212 635
122 532 540
410 162 351
928 410 67
552 912 910
955 660 115
4 541 21
318 270 724
790 428 550
220 530 587
756 736 863
94 432 889
476 858 467
59 637 100
625 436 947
234 415 115
127 111 600
373 864 829
661 474 408
283 348 794
396 578 951
714 89 482
513 614 369
914 131 713
268 243 667
102 723 75
546 42 590
930 691 205
180 16 231
193 172 479
504 1000 970
471 157 467
736 162 622
150 493 26
276 807 298
136 685 709
80 348 541
609 918 136
989 640 733
524 253 263
74 981 736
231 221 948
488 201 506
78 307 542
105 416 65
318 76 696
473 134 134
922 981 794
879 701 269
878 621 970
743 774 42
176 919 904
411 266 384
629 769 13
969 411 943
324 926 422
233 81 993
967 725 260
738 615 893
43 293 251
12 583 248
931 382 16
55 388 525
255 675 375
188 483 676
36 83 832
367 47 557
304 476 389
176 498 574
265 661 222
142 40 464
949 382 729
269 806 428
850 574 872
57 68 211
306 259 759
769 537 503
838 381 550
203 272 791
190 4 52
868 329 875
174 755 833
182 240 49
508 154 288
681 493 700
613 996 115
238 401 703
438 115 109
879 480 575
1000 217 57
398 248 600
242 606 616
358 708 911
151 202 717
910 544 476
71 928 717
79 411 331
593 419 279
141 608 535
252 580 699
597 919 973
827 684 860
241 694 762
780 963 527
407 508 774
334 701 1021
897 990 255
110 844 761
946 758 995
667 763 269
993 495 979
543 95 953
516 295 24
237 90 510
387 978 50
287 317 324
613 886 440
616 556 536
666 656 122
172 143 819
62 566 403
237 610 652
710 797 379
421 409 517
740 186 164
723 877 488
578 48 356
352 693 39
875 925 448
998 813 902
238 169 731
200 542 514
452 382 1011
825 540 207
598 961 1010
717 765 904
527 119 451
671 750 817
213 278 687
396 230 1018
437 162 933
638 850 289
3 752 975
494 882 323
751 338 648
652 749 658
370 275 206
755 979 89
615 381 30
622 83 792
56 541 752
647 142 804
244 292 721
59 862 971
238 262 399
310 305 931
163 417 51
983 302 232
817 676 697
511 478 789
539 75 258
677 651 584
734 792 706
154 492 731
257 816 410
985 125 862
981 771 785
57 399 1009
868 64 839
242 906 674
736 435 949
845 639 228
557 121 61
376 779 342
760 733 771
911 760 347
547 233 538
607 902 155
423 608 462
240 859 267
123 449 334
515 507 27
356 290 363
220 542 562
555 105 270
712 387 737
728 910 460
30 288 9
54 311 79
581 929 326
160 299 739
176 154 38
985 683 883
910 860 869
965 812 148
156 841 660
430 383 601
827 999 363
595 312 257
473 475 115
998 525 408
18 928 464
411 178 873
214 248 468
722 167 361
399 662 727
772 170 1006
390 201 803
503 644 697
121 140 228
10 204 695
855 152 542
792 576 193
602 44 327
281 344 508
439 494 665
795 892 764
34 369 753
738 664 28
578 593 639
343 115 1009
835 841 634
576 755 631
669 930 268
809 409 72
22 331 811
60 290 259
956 266 153
149 640 908
239 932 487
88 664 488
109 352 861
471 494 574
841 699 811
231 139 884
462 31 705
15 177 661
84 985 398
465 556 827
94 730 691
729 326 869
264 132 937
328 65 97
386 649 564
599 192 31
467 822 47
910 418 650
50 374 735
722 390 952
132 58 648
394 512 137
541 210 588
410 904 46
163 661 291
751 751 857
609 219 394
166 17 1005
346 797 738
783 236 909
397 885 714
838 843 114
613 381 290
780 929 757
343 264 732
947 511 346
869 188 589
45 904 846
59 981 651
484 941 32
227 827 53
129 978 367
406 1000 690
762 534 831
151 896 635
183 116 497
943 694 478
956 34 416
721 893 424
908 296 373
349 268 215
926 592 711
837 180 768
582 466 924
911 828 745
925 56 990
25 767 80
605 472 379
226 757 130
31 441 586
238 992 15
350 82 162
123 595 410
519 200 736
405 543 933
139 296 572
262 47 76
942 35 266
410 885 454
560 849 780
784 28 297
736 641 446
360 786 890
307 165 174
905 987 396
172 397 677
390 401 483
516 493 652
912 240 624
86 891 319
66 470 1019
461 505 89
221 164 13
218 68 640
450 755 378
312 991 757
861 996 128
630 667 430
106 132 797
798 776 814
460 552 142
194 590 452
391 349 681
625 524 5
131 563 554
332 578 475
699 323 939
900 701 585
487 588 16
857 795 624
383 191 172
382 836 616
216 677 1022
360 28 1003
10 12 271
918 419 487
363 477 337
50 582 417
437 58 170
144 28 342
181 567 1017
956 344 857
554 163 449
156 295 712
850 659 123
2 549 1021
291 93 544
952 394 238
756 857 523
953 351 734
438 560 797
505 406 476
711 865 205
466 410 573
567 175 809
165 826 175
786 914 102
629 81 110
283 813 1015
972 494 252
56 965 634
973 699 278
562 252 30
740 795 529
960 928 394
268 899 391
73 389 191
167 357 902
303 520 68
444 600 310
746 643 827
488 670 336
706 180 293
515 732 211
612 255 109
849 264 635
17 167 499
63 639 216
83 339 334
174 619 82
903 288 562
638 307 874
538 957 316
728 417 403
42 815 90
895 126 66
868 936 948
528 936 685
283 403 1021
78 724 818
52 966 436
800 111 362
253 849 1021
481 942 79
997 644 278
840 239 282
425 211 204
374 608 71
196 313 699
569 635 763
140 984 307
241 24 892
101 650 675
978 200 67
154 48 880
440 267 830
257 777 45
223 930 921
63 575 416
587 683 831
424 19 395
935 637 654
624 439 464
950 530 302
443 501 29
852 580 302
530 238 188
753 546 212
796 979 792
148 100 221
300 431 147
381 698 471
315 826 376
200 809 223
700 85 877
623 853 871
724 205 172
418 632 539
526 265 1004
181 491 496
564 496 432
380 663 743
983 40 1005
334 719 985
843 368 269
16 733 633
740 128 396
613 863 680
945 347 133
726 106 1001
848 441 352
111 850 630
196 27 1014
919 198 115
711 949 833
991 383 23
707 639 863
357 514 643
714 147 308
502 352 334
133 234 203
565 279 817
611 476 792
849 914 77
851 882 124
315 5 170
788 246 914
637 685 111
822 242 365
405 496 533
193 596 296
616 799 307
205 868 520
636 657 707
306 180 225
760 602 988
55 847 1005
611 41 903
706 409 186
6 21 177
35 734 645
654 746 203
804 149 382
101 420 816
127 627 871
646 684 780
981 638 22
214 357 410
356 376 719
905 539 677
803 444 870
596 503 673
463 741 869
813 765 313
890 982 1006
865 317 155
500 560 712
327 256 235
807 799 418
112 272 651
964 432 606
857 560 759
356 322 202
119 931 322
907 422 612
354 309 753
856 714 916
125 364 669
955 485 37
648 682 317
789 108 653
591 755 689
361 853 509
878 71 882
421 72 48
377 601 17
523 110 136
21 142 1017
640 530 584
915 858 548
614 29 632
456 294 249
677 929 297
797 537 160
672 588 169
789 801 876
153 212 469
12 3 238
723 831 942
48 414 778
175 861 662
595 252 532
294 41 774
949 222 142
979 713 443
191 124 881
209 314 3
174 765 775
414 933 130
806 168 348
702 925 930
477 36 937
379 713 175
880 55 915
11 615 633
89 923 532
581 290 542
355 951 951
99 392 814
708 239 715
627 374 741
748 524 401
843 9 414
131 447 381
885 569 282
473 801 913
610 714 350
93 901 699
692 811 220
658 978 133
668 480 450
623 87 370
102 195 550
350 871 488
125 574 334
69 85 389
390 958 367
394 350 321
921 46 485
447 296 261
753 782 180
924 784 510
746 770 590
187 143 851
712 721 837
929 963 756
141 578 350
579 334 905
626 450 305
794 892 944
564 623 543
652 62 744
97 931 652
768 430 677
512 133 9
98 704 533
464 160 289
822 197 714
891 441 437
693 809 357
239 235 645
515 154 599
232 21 708
718 758 533
667 804 846
826 962 78
480 272 823
606 782 387
856 769 963
592 51 14
808 652 430
918 473 104
741 15 974
389 325 652
442 95 388
736 257 902
285 583 117
599 491 739
351 767 988
701 183 915
557 125 122
250 279 269
301 871 681
32 435 456
610 736 175
622 238 804
481 159 80
866 898 717
799 887 626
387 695 339
558 607 255
319 691 444
366 671 758
846 485 888
307 618 204
880 481 600
578 822 793
686 998 916
378 738 301
138 831 65
585 825 1007
419 297 420
439 815 549
107 519 627
721 438 65
340 649 153
788 270 170
543 175 262
966 784 352
284 720 888
792 2 1013
262 180 648
997 983 353
903 443 372
471 511 25
948 934 59
32 96 43
542 250 173
523 95 970
731 527 579
436 230 144
581 343 101
893 739 284
594 261 739
854 746 152
641 681 163
530 290 114
315 48 302
131 682 363
168 128 717
950 888 306
221 247 103
752 383 610
837 988 784
363 232 536
49 955 834
979 913 1020
361 853 701
206 364 833
606 618 335
472 119 645
271 408 817
331 670 999
740 838 261
743 60 826
746 314 799
475 637 224
445 234 991
731 557 824
528 46 557
598 277 123
619 440 164
379 167 920
402 50 197
665 699 255
78 971 22
289 267 366
973 83 846
316 63 637
841 451 910
828 102 206
222 7 197
985 962 646
588 881 827
201 976 528
665 786 837
659 106 228
328 681 705
118 195 662
184 516 515
380 367 929
91 263 235
290 176 964
820 119 479
266 80 177
509 252 473
640 268 125
62 687 187
82 857 229
8 213 342
988 878 330
147 429 204
496 780 1000
76 10 379
132 427 279
331 727 305
737 901 550
487 828 196
29 198 594
546 994 991
252 467 1002
69 3 227
181 68 796
958 903 995
391 936 984
239 55 150
961 307 878
157 552 772
344 268 608
610 762 96
897 232 386
850 773 745
693 379 931
568 846 83
875 894 243
75 357 385
693 724 742
37 393 461
688 781 841
319 681 650
85 622 706
660 421 335
518 369 292
660 487 618
546 933 989
144 633 755
446 274 744
991 217 474
383 524 589
765 173 244
617 148 479
660 387 271
688 123 448
696 713 393
495 571 204
144 743 444
786 702 29
398 827 641
753 946 59
127 323 693
534 399 647
91 593 273
507 335 382
472 928 633
211 445 427
701 211 786
368 390 908
457 376 127
492 203 944
994 220 951
83 213 648
213 569 364
601 185 337
795 174 735
305 93 865
856 550 388
935 363 482
507 547 697
628 901 359
646 935 268
468 686 419
364 428 475
212 335 2
420 485 958
724 310 913
183 859 967
704 921 409
529 574 840
156 209 10
87 91 282
310 538 495
513 728 285
703 74 402
238 558 479
386 470 209
888 172 877
686 338 976
364 680 792
183 722 194
933 6 987
881 433 203
46 228 503
153 417 373
347 269 643
680 543 717
934 514 120
659 102 607
204 288 279
537 265 620
983 761 748
627 130 249
51 229 457
381 62 839
647 870 502
268 289 928
791 326 507
549 394 9
692 700 443
861 338 74
397 589 941
962 259 232
772 358 838
158 17 129
256 156 659
217 164 730
369 497 290
810 783 921
11 824 416
401 382 118
117 42 379
197 976 475
713 806 995
296 556 724
189 245 646
985 245 503
521 484 451
714 128 374
436 350 771
787 711 127
177 983 390
850 960 209
635 819 680
202 979 235
340 285 96
438 406 137
729 161 874
168 862 722
759 853 338
159 976 23
635 893 656
196 675 563
251 604 346
778 609 1
711 100 115
543 820 795
632 296 46
319 886 967
812 968 425
538 47 994
437 954 613
266 455 984
136 236 868
459 831 944
160 978 921
357 73 168
71 549 359
7 926 128
901 232 472
212 850 792
101 708 574
681 31 874
558 492 688
902 988 436
895 630 671
687 563 17
862 961 344
650 511 950
569 345 143
562 205 998
438 121 241
842 887 514
383 426 668
666 848 443
273 323 324
244 536 88
318 801 42
661 171 711
866 487 317
240 45 712
849 157 249
568 736 97
876 265 696
925 453 582
984 929 277
114 80 276
347 535 276
937 868 261
921 29 122
572 752 546
298 308 321
803 854 494
341 272 107
690 477 875
291 339 579
753 888 544
877 159 749
193 752 705
546 212 590
189 315 327
42 366 222
688 196 997
914 879 713
74 871 87
28 99 243
417 767 809
926 493 114
473 738 101
115 265 92
74 928 131
259 654 864
282 744 716
30 203 449
764 654 745
258 632 648
936 938 698
756 557 600
487 940 418
967 257 536
388 881 875
109 102 668
217 842 698
52 322 140
11 399 628
881 509 460
359 302 514
266 662 824
179 149 362
407 885 478
935 214 130
173 935 328
371 115 657
843 458 737
168 210 755
934 290 298
907 68 302
805 501 1010
178 122 259
61 409 137
794 123 83
532 812 441
31 231 173
633 818 743
968 162 284
854 297 775
969 523 923
52 575 1022
918 407 22
715 336 527
748 124 964
108 57 472
603 586 46
41 140 55
410 371 841
366 343 980
546 827 234
892 482 311
486 444 975
934 352 122
32 884 853
714 239 369
209 653 115
80 111 971
190 785 263
398 869 819
340 135 264
622 591 385
380 275 773
621 698 741
840 352 961
795 579 301
153 379 387
952 183 435
22 164 873
190 476 735
757 681 291
628 762 922
456 681 140
793 904 159
461 385 727
794 773 257
213 377 12
805 51 244
715 436 642
294 350 500
208 246 924
19 388 176
313 665 88
275 433 182
315 434 193
221 81 874
158 899 873
321 179 286
759 77 6
994 514 551
470 986 752
276 70 168
378 544 558
647 756 804
284 345 296
223 266 224
305 232 724
228 773 308
817 112 411
995 950 517
714 16 519
612 444 606
245 346 148
573 965 650
543 452 818
390 650 254
141 644 468
366 217 114
157 450 745
463 257 389
881 555 265
994 132 582
23 919 701
505 912 1007
551 958 263
671 269 890
770 6 746
799 381 262
649 227 351
432 975 819
702 695 289
405 734 987
503 902 576
385 421 466
152 713 390
569 315 775
811 475 257
960 973 204
384 244 876
51 311 975
746 862 363
456 437 194
681 63 430
975 730 302
997 458 694
904 899 921
581 479 495
233 329 306
196 268 1003
610 788 105
714 943 879
957 575 139
807 260 783
327 110 271
818 602 798
304 575 212
861 150 480
736 545 92
742 262 83
946 764 256
185 523 367
440 34 7
987 540 772
489 59 1
688 429 590
952 458 919
940 260 73
419 365 790
203 769 899
589 30 860
952 575 437
705 54 238
638 538 463
769 177 264
483 642 723
111 497 133
485 611 12
533 835 396
437 473 471
875 682 343
242 468 517
801 798 141
555 277 479
360 729 817
132 500 689
350 333 990
387 11 419
108 168 999
289 997 747
513 60 299
925 131 975
269 826 999
392 680 886
911 931 518
298 48 529
529 979 990
492 155 316
360 140 433
898 512 577
608 26 548
5 463 657
273 5 754
994 370 226
420 488 30
92 725 599
13 689 883
860 140 587
46 38 537
816 218 609
546 103 808
904 794 831
554 911 773
923 367 69
507 392 200
719 247 635
327 387 844
361 488 908
735 794 220
475 769 688
824 846 644
893 899 294
750 394 933
912 853 1015
830 283 842
300 653 892
326 406 983
81 450 390
212 777 254
33 117 326
493 582 368
539 179 191
250 963 160
596 555 835
330 424 854
555 255 558
472 875 926
405 901 849
201 715 140
720 355 508
169 200 976
921 419 952
15 293 189
364 936 345
504 443 805
4 995 92
636 572 762
825 248 193
981 173 500
953 545 638
388 70 850
389 4 941
632 324 827
542 867 807
942 176 620
289 294 439
586 400 889
341 74 408
407 654 653
862 560 215
929 913 635
199 551 634
800 552 284
533 840 284
945 87 399
868 208 702
314 736 574
993 979 833
142 763 580
299 757 560
783 73 1019
294 287 917
190 165 852
698 120 428
136 787 115
25 161 180
202 136 98
788 272 50
368 652 1013
56 979 614
317 329 799
331 353 491
628 385 404
610 637 490
421 709 916
439 807 493
485 142 338
967 53 573
986 876 60
467 984 853
56 975 880
182 239 533
824 612 547
796 236 621
935 474 788
674 856 239
475 843 865
12 112 450
758 259 828
798 637 11
722 577 273
863 496 754
515 391 180
865 239 320
780 697 695
991 814 954
223 180 1021
71 697 824
440 852 115
996 840 172
892 535 564
891 424 173
855 184 424
531 8 825
298 594 703
245 937 279
755 962 991
982 855 512
717 505 689
711 589 538
216 221 764
985 413 986
255 930 91
376 442 143
331 527 1019
75 898 818
215 708 610
797 974 906
218 537 464
44 633 765
123 611 483
711 354 368
2 360 219
947 179 302
741 179 213
427 193 118
249 156 893
390 852 308
467 299 907
713 136 597
435 460 389
980 237 596
57 255 850
201 249 343
675 738 1003
728 846 407
861 275 80
531 73 198
201 532 938
63 180 652
782 526 187
722 913 1014
354 378 778
888 378 475
167 304 920
88 114 159
431 439 515
889 545 448
533 857 426
195 228 276
448 459 774
953 825 38
12 509 771
598 419 202
730 661 359
820 795 322
834 973 33
425 633 938
677 694 85
91 147 1001
51 88 723
833 455 721
881 993 808
877 791 991
687 756 516
745 875 21
35 317 560
438 172 271
660 78 638
79 23 85
804 236 278
833 285 921
845 601 630
925 411 846
733 577 296
230 403 968
921 173 30
520 513 78
653 408 47
858 245 979
641 396 563
509 769 29
647 836 476
419 388 726
553 37 565
457 972 709
456 189 79
81 16 774
999 525 83
640 21 485
362 876 669
655 380 641
405 43 420
280 928 57
470 515 28
503 862 216
599 390 703
766 507 105
478 572 283
649 227 226
65 838 456
641 744 961
802 158 1015
363 195 890
674 691 875
393 816 435
155 631 999
918 822 452
926 114 186
578 372 432
496 866 537
303 738 183
389 774 391
450 959 978
812 211 185
614 18 308
285 391 138
560 700 726
714 660 904
804 817 857
834 249 623
984 864 348
760 58 301
784 152 754
610 520 119
440 35 22
129 896 965
300 319 477
998 578 441
968 316 215
493 702 262
545 697 271
659 400 150
181 543 986
895 728 173
681 558 284
646 841 293
922 455 576
330 550 395
283 44 254
599 739 716
894 550 769
59 523 297
777 130 158
694 989 990
283 802 260
197 779 762
303 38 686
419 597 8
770 678 176
798 71 769
414 66 407
344 917 956
763 161 391
175 909 56
608 409 273
16 300 6
979 658 17
525 906 916
728 379 720
55 68 150
726 101 9
304 289 468
44 186 949
137 713 719
384 926 587
860 930 584
5 295 367
899 107 899
910 937 668
581 430 813
682 730 632
11 436 739
521 38 132
931 609 526
920 579 909
886 496 999
47 895 333
240 95 481
317 122 235
804 786 640
587 961 439
50 261 858
292 34 695
932 311 986
179 694 941
378 900 854
245 442 26
776 296 650
233 498 909
797 376 598
181 809 377
227 981 482
763 450 378
990 187 158
542 356 15
76 286 400
62 190 270
553 863 254
783 850 541
213 38 585
784 29 208
615 398 220
714 7 49
833 92 331
738 416 840
972 382 175
429 306 809
537 706 159
204 483 645
921 471 359
716 604 95
224 691 734
600 566 999
110 202 818
320 430 516
409 304 332
423 102 471
631 226 453
318 456 238
510 270 243
627 299 542
339 63 338
360 602 120
786 358 203
55 937 724
599 239 477
224 903 729
944 323 891
629 54 176
617 660 917
294 5 18
815 211 598
247 495 795
908 732 71
254 919 197
340 301 630
754 29 580
526 202 274
649 785 513
926 566 382
354 348 428
832 449 454
932 11 354
698 56 86
598 116 226
549 385 768
344 479 93
214 87 134
221 857 188
503 157 719
358 852 17
728 812 314
808 965 218
734 532 598
782 504 425
362 137 345
941 894 291
565 667 358
896 616 249
411 890 872
162 631 351
716 50 1014
285 395 329
390 13 83
404 891 1021
156 105 816
256 568 644
695 359 42
160 834 175
768 513 450
365 845 891
872 339 513
782 62 746
953 667 59
29 654 451
320 260 494
61 528 305
821 431 502
633 532 460
677 191 437
773 942 435
225 223 719
851 883 90
647 480 817
795 894 784
809 603 816
